Age,Communication,Documents,Education,Experience,Job Benefits,Job Type,Others,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
20 - 30 yrs,Excellent English skills - Ability to SpeakCompulsory,Cheque Book / Pass BookCompulsory      Salary slipsCompulsory      Joining and Relieving LettersCompulsory      Marksheets and DegreeCompulsory      Pan CardCompulsory      Aadhar CardCompulsory      Photos,12th pass mandatoryCompulsory,0 to 4 yrs of experience as Customer Care in BPO / ITES preferred,Full Time,9:00 AM - 6:00 PM(day shift),ConfidenceDedicationMS WordCustomer RetentionCompulsory      Dedication,6 days  (1),Freshers can Apply4 yrs experience,Brookefield,,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Garden Reach,,,,
18 - 31 yrs,Fluent Hindi skills - Ability to Speak,Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,Full Time,11:00 AM - 6:30 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply,Kolkata,,,,
18 - 35 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 34 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Bengali skills - Ability to Speak,,12th pass preferred,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,Full Time,10:00 AM - 6:00 PM(day shift),DedicationCustomer RetentionCompulsory,6 days,Freshers can Apply 6 months experience,Shibpur,,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,,
18 - 28 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Medinipur,,,,
18 - 30 yrs,Functional English skills - Ability to Speak,Pan Card,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 6:30 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply| Resume Required,Kolkata,,,,
Above 18 yrs,Good English skills - Ability to Speak,,Graduation degree preferred,Freshers as Customer Care preferred,Full Time,9:30 AM - 6:30 PM(day shift),ConfidencePersonal GroomingCustomer RetentionCompulsory      Confidence,6 days  (sunday),Freshers can Apply,Jaypee Greens,,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Baguiati,,,,
18 - 30 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,Below 10th allowed,Freshers as Customer Care preferred,Full Time,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Bongaon,,,,
18 - 40 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Good Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to Read & WriteCompulsory      Functional Marathi skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care in BPO / ITES preferred,Female mandatoryCompulsory,Full Time,,10:00 AM - 7:00 PM(day shift),Computer AwarenessCompulsory,6 days,Freshers can Apply,Swargate,,
18 - 30 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Excellent Tamil skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,Fluent Hindi skills - Ability to SpeakCompulsory      Good Marathi skills - Ability to SpeakCompulsory,Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,2:00 PM - 11:00 PM(day shift)  7:00 AM - 4:00 PM(day shift),Computer AwarenessCompulsory,6 days  (Alternate off),Freshers can Apply,Andheri East,,
18 - 35 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,PhotosCompulsory      Pan Card     Salary slips     Voter ID     Aadhar Card,Below 10th allowed,Freshers as Customer Care in NGO / Non Profit preferred,,Full Time,Preferred Intimidate joiner ,,,,,,,
Above 18 yrsCompulsory,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent Hindi skills - Ability to Speak,,Graduation degree preferred,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply,BTM Layout,,
Above 18 yrs,Functional Hindi skills - Ability to Speak,Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,,Full Time,,9:00 AM - 6:00 PM(day shift),,6 days,Freshers can Apply| Resume Required,Deccan Gymkhana,,
Above 18 yrs,,,Graduation degree preferred,Freshers as Customer Care preferred,,Full Time,,,,,Freshers can Apply| Resume Required,Kolkata,,
18 - 30 yrsCompulsory,Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak,,12th pass mandatoryCompulsory,0 to 6 months of experience as Customer Care in Aviation / Airlines preferred,,Full Time,candidates are not allowed with medical issue     candidates must bring all documents,10:00 AM - 5:30 PM(day shift),good communication skillCompulsory      WELL GROOMED,,Freshers can Apply 6 months experience,Dum Dum,,
18 - 30 yrs,Excellent Marathi skills - Ability to Speak     Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,Freshers can Apply,Kothrud,,,,
Above 18 yrs,Excellent English skills - Ability to SpeakCompulsory,Cheque Book / Pass Book     TR Driving License     Passport     Joining and Relieving Letters     Salary slips     Electricity Bill     Pan Card     2-Wheeler Driving License     Aadhar Card     Marksheets and Degree     Photos     Voter ID,Graduation degree preferred,3 yrs to 8 yrs of experience as Customer Care in BPO / ITES preferred,Full Time,,,5 days,3 yrsto8 yrs experience,Sector 62,,,,
Above 18 yrs,,,Graduation degree preferred,Freshers as Customer Care preferred,Full Time,,,6 days  (alternate saturdays off),Freshers can Apply| Resume Required,Sector 18,,,,
18 - 30 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,Below 10th allowed,Freshers as Customer Care preferred,Full Time,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Behala,,,,
18 - 25 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak,,Below 10th allowed,0 to 6 months of experience as Customer Care or Back Office Executive preferred,Full Time,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply 6 months experience,Hauz Khas,,,,
18 - 25 yrs,Functional English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Customer Care or Back Office Executive preferred,Full Time,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,5 days|Off Days:Sunday,Freshers can Apply 6 months experience,Hauz Khas,,,,
18 - 30 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak     Good Bengali skills - Ability to Speak,Pan Card     Aadhar Card     Voter ID     Marksheets and Degree,10th pass preferred,Freshers as Customer Care or Other in Aviation / Airlines preferred,Full Time,10:00 AM - 6:00 PM(day shift),ConfidencePersonal GroomingCompulsory      Customer Retention,6 days  (Alternate Sundays off),Freshers can Apply| Resume Required,Jajpur,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Fluent Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessGroomingDressingModulationPleasantnessMS WordCompulsory,6 days|Off Days:Sunday,Freshers can Apply,Lodhi Colony,,,
18 - 30 yrsCompulsory,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to Speak,Aadhar Card     Voter ID     Pan Card,12th pass mandatoryCompulsory,Freshers as Customer Care preferred,Full Time,Android Phone,9:00 AM - 6:00 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply| Resume Required,Kolkata,,,
18 - 30 yrs,Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Pan Card     Aadhar Card     Voter ID,12th pass preferred,Freshers as Customer Care in Aviation / Airlines preferred,Full Time,Android Phone,10:00 AM - 5:30 PM(day shift),DedicationCompulsory,6 days  (sunday),Freshers can Apply| Resume Required,Kolkata,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Ballygunge,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 28 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,10th pass preferred,0 to 6 months of experience as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCustomer RetentionCompulsory      DedicationLocal AwarenessCustomer Retention,5 days,Freshers can Apply 6 months experience,Saket,,,
18 - 32 yrs,Good Tamil skills - Ability to SpeakCompulsory      Good English skills - Ability to SpeakCompulsory,,10th pass preferred,Freshers as Customer Care preferred,Full Time,,9:30 AM - 6:30 PM(day shift)  10:00 AM - 7:00 PM(day shift),Customer RetentionCompulsory,6 days,Freshers can Apply,Yeshwanthpur,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Jamshedpur,,,
18 - 33 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,10th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Shobhabazar,,,
Above 18 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Jadavpur,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers preferred,,Full Time,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,KGP,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Dum Dum,,,
18 - 28 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Bangoan,,,
18 - 45 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Functional Marathi skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationHindi TypingMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (sat & sun),Freshers can Apply,Borivali,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,,
20 - 30 yrsCompulsory,Excellent Kannada skills - Ability to Speak     Functional English skills - Ability to Speak,,12th pass preferred,Freshers as Marketing Executive in Advertising / Media / PR preferred,Female preferred,Full Time,9:30 AM - 6:00 PM(day shift),Computer AwarenessConfidenceCompulsory      Dedication,5 days,Freshers can Apply,HSR Layout,,,
Above 18 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Aadhar Card     Pan Card,12th pass mandatoryCompulsory,Freshers as Telesales / Telemarketing in BPO / ITES preferred,,Full Time,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply| Resume Required,Ghansoli,,,
Above 18 yrs,Functional Tamil skills - Ability to Speak,,,,,,,,,,,,,
20 - 35 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,Aadhar Card,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,,6 days,Freshers can Apply| Resume Required,Sector 20,,
18 - 25 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,Below 10th allowed,0 to 6 months of experience as Data Entry Operator or Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),,5 days  (Sat & Sun),Freshers can Apply 6 months experience,Viman Nagar,,
18 - 35 yrs,Excellent Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to Speak,Aadhar CardCompulsory,12th pass mandatoryCompulsory,0 to 1 yr of experience as Customer Care in BPO / ITES preferred,,Full Time,,9:30 AM - 6:00 PM(day shift),,6 days  (Sunday),Freshers can Apply1 yr experience| Resume Required,Janakpuri,,
18 - 30 yrs,Good English skills - Ability to Speak     Functional Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak,Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,9:30 AM - 6:00 PM(day shift),,6 days  (sunday),Freshers can Apply,Dahisar East,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Functional English skills - Ability to Speak     Excellent Marathi skills - Ability to Speak     Good Hindi skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,9:30 AM - 5:30 PM(day shift),,6 days  (sunady),Freshers can Apply,Kalyani Nagar,,
18 - 28 yrs,Functional English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),DedicationHindi TypingCustomer RetentionCompulsory,6 days,Freshers can Apply,Borivali,,
18 - 30 yrs,Good Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),,6 days  (sunday),Freshers can Apply,Karol Bagh,,,
18 - 29 yrsCompulsory,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory,,10th pass mandatoryCompulsory,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationHindi TypingMS WordPersonal GroomingCustomer RetentionCompulsory,5 days,Freshers can Apply,Chembur,,,
Above 18 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 27 yrs,,,12th pass preferred,0 to 1 yr of experience as Customer Care in BPO / ITES preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessConfidenceDedicationLocal AwarenessMS WordCustomer RetentionCompulsory,6 days,Freshers can Apply1 yr experience,Uttam Nagar,,,
18 - 30 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,,Freshers can Apply| Resume Required,Jayanagar,,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Raja Bazar,,,
18 - 35 yrs,Excellent Hindi skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Good Hindi skills - Ability to Speak,Aadhar Card,10th pass preferred,Freshers as Customer Care preferred,Full Time,,,9:30 AM - 6:30 PM(day shift),Customer RetentionCompulsory,6 days  (altenative saturday),Freshers can Apply,Bhubaneswar,,
Above 18 yrs,Excellent Hindi skills - Ability to Speak,Photos     Aadhar Card     Marksheets and Degree,10th pass preferred,0 to 3 yrs of experience as Customer Care preferred,Full Time,basic computer knowledge is extra beneficial.     candidate must have good and pleasing communication skill,,10:00 AM - 5:30 PM(day shift),Computer AwarenessDedicationCustomer RetentionCompulsory      Quantitative AptitudeConfidenceLocal AwarenessPersonal Grooming,6 days  (SUNDAY),Freshers can Apply3 yrs experience,Noida,,
18 - 30 yrs,Good Hindi skills - Ability to Speak & ReadCompulsory      Good English skills - Ability to Speak,Aadhar Card     Voter ID,12th pass preferred,Freshers as Customer Care in Aviation / Airlines preferred,Full Time,,Android Phone,11:00 AM - 7:00 PM(day shift),ConfidenceCompulsory,6 days  (altenative saturday),Freshers can Apply| Resume Required,Kolkata,,
18 - 36 yrs,Fluent Kannada skills - Ability to Speak,,,,,,,,,,,,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kalighat,,
18 - 30 yrs,Fluent Hindi skills - Ability to Speak,Aadhar Card,10th pass preferred,Freshers as Customer Care preferred,Full Time,,,11:00 AM - 6:00 PM(day shift),Customer RetentionCompulsory,6 days  (sunday),Freshers can Apply,Bhubaneswar,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,10:00 AM - 6:00 PM(day shift)  9:30 AM - 5:30 PM(day shift),,5 days,Freshers can Apply| Resume Required,Behala,,
18 - 30 yrs,Functional Marathi skills - Ability to Speak     Good English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,9:30 AM - 5:30 PM(day shift),,,Freshers can Apply,Bandra East,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,Full Time,,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Haldirams,,
Above 18 yrs,,,Graduation degree preferred, 6 months to 2 yrs of experience as Customer Care in BPO / ITES preferred,Full Time,,10:00 AM - 7:00 PM(day shift),Computer AwarenessConfidencecustomer careCustomer RetentionCompulsory,6 days,6 monthsto2 yrs experience| Resume Required,Jaipur,,,
Above 18 yrs,Excellent Hindi skills - Ability to SpeakCompulsory,Cheque Book / Pass BookCompulsory      Joining and Relieving LettersCompulsory      Marksheets and DegreeCompulsory      PhotosCompulsory      Pan CardCompulsory      Aadhar CardCompulsory,10th pass mandatoryCompulsory,0 to 1 yr of experience as Customer Care in Banking / Financial Services / Insurance preferred,Full Time,Candidate should have all reliving letter then only considered as ExperiencedCompulsory,9:00 AM - 6:00 PM(day shift),Fluent in HindiCompulsory      Customer Retention,6 days  (Sunday),Freshers can Apply1 yr experience| Resume Required,Koramangala,,,
18 - 32 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 28 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
18 - 25 yrsCompulsory,Excellent Hindi skills - Ability to SpeakCompulsory      Functional English skills - Ability to Speak,,Below 10th allowed,0 to 6 months of experience as Data Entry Operator or Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (Sat & Sun),Freshers can Apply 6 months experience,Hauz Khas,,,
18 - 30 yrs,,,12th pass preferred,Freshers as Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory      Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer Retention,6 days  (sunday),Freshers can Apply,Sector 2,,,
18 - 25 yrsCompulsory,,,Below 10th allowed,0 to 6 months of experience as Back Office Executive or Customer Care preferred,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory,5 days  (Sat & Sun),Freshers can Apply 6 months experience,Borivali,,,
18 - 30 yrs,Excellent Marathi skills - Ability to Speak     Functional English skills - Ability to Speak     Good Hindi skills - Ability to Speak,Aadhar Card,Below 10th allowed,Freshers as Customer Care preferred,Full Time,,,,6 days  (sunady),Freshers can Apply,Bandra East,,,
18 - 40 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrs,Fluent English skills - Ability to SpeakCompulsory      Fluent Hindi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Customer Care preferred,Full Time,The working hours will be between 3 PM-12 AM.,4:00 PM - 12:00 AM(day shift),Communication SkillsBusiness CommunicationCustomer RetentionCommunicatingEnglish GrammarCompulsory,6 days  (On-call support on weekends if required),Freshers can Apply| Resume Required,Koramangala,,,
18 - 30 yrs,Good English skills - Ability to SpeakCompulsory      Good Hindi skills - Ability to Speak     Good Kannada skills - Ability to Speak,,10th pass preferred,Freshers as Customer Care in BPO / ITES preferred,Female preferred,Full Time,,9:00 AM - 5:00 PM(day shift),,,Freshers can Apply| Resume Required,Yelahanka,,
18 - 29 yrs,,Voter ID     Aadhar Card     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,10:00 AM - 6:00 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Kolkata,,
18 - 35 yrs,Fluent English skills - Ability to Speak & ReadCompulsory      Good Telugu skills - Ability to SpeakCompulsory      Fluent Kannada skills - Ability to Speak & ReadCompulsory,Marksheets and Degree     Joining and Relieving Letters     Salary slips     Pan Card     Aadhar Card,12th pass preferred, 6 months to 2 yrs of experience as Customer Care preferred,,Full Time,,,Communication SkillsData EntryCompulsory,6 days,6 monthsto2 yrs experience| Resume Required,Hyderabad,,
18 - 30 yrsCompulsory,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent Kannada skills - Ability to Speak,,,,,,,,,,,,,
18 - 40 yrsCompulsory,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to SpeakCompulsory,Photos     Joining and Relieving Letters     Marksheets and Degree     Voter ID     Pan Card     Aadhar Card,Graduation degree mandatoryCompulsory      Bachelor of Arts (B.A.) preferred, 6 months to 7 yrs of experience as Customer Care in BPO / ITES or Other preferred,Female preferred,Full Time,Feature Phone,9:30 AM - 7:00 PM(day shift),Computer AwarenessMS WordPersonal GroomingCompulsory      ConfidenceDedicationMS WordPersonal GroomingCustomer Retention,6 days  (NO),6 monthsto7 yrs experience,Paharganj,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 35 yrs,Good English skills - Ability to Speak,Aadhar Card     Photos,Graduation degree preferred, 6 months to 1 yr of experience as Customer Care in BPO / ITES preferred,,Full Time,,6:30 PM - 3:30 AM(day shift),ConfidenceCustomer RetentionCompulsory,5 days,6 monthsto1 yr experience| Resume Required,Chennai,,
18 - 29 yrs,,Aadhar Card     Voter ID     Photos     Marksheets and Degree,12th pass preferred,Freshers as Customer Care preferred,,Full Time,,,9:30 AM - 5:30 PM(day shift)  9:00 AM - 5:00 PM(day shift),,5 days,Freshers can Apply| Resume Required,Durgapur,
18 - 33 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 30 yrsCompulsory,Good English skills - Ability to SpeakCompulsory,Aadhar CardCompulsory      Pan CardCompulsory,12th pass mandatoryCompulsory,Freshers as Customer Care in BPO / ITES preferred,Female preferred,Full Time,,,10:00 AM - 7:00 PM(day shift),,6 days  (1),Freshers can Apply,Ghansoli,
18 - 40 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
18 - 27 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,
Above 18 yrs,,,Graduation degree preferred, 6 months to 1 yr of experience as Customer Care preferred,Female preferred,Full Time,,,9:30 AM - 5:30 PM(day shift),,5 days,6 monthsto1 yr experience,Sector 63,
18 - 30 yrs,,,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),,6 days  (Sunday),Freshers can Apply| Resume Required,Rohini,
Above 18 yrs,Fluent English skills - Ability to Speak,,Below 10th allowed,Freshers as Customer Care preferred,,Full Time,,,6:30 PM - 3:30 AM(night shift),,,Freshers can Apply| Resume Required,Ambegaon BK,
18 - 28 yrs,Functional English skills - Ability to Speak     Functional Hindi skills - Ability to Speak     Functional Marathi skills - Ability to Speak,,Below 10th allowed,Freshers as Data Entry Operator or Customer Care preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),,5 days  (SAT & SUN),Freshers can Apply,Viman Nagar,
18 - 30 yrs,,,12th pass preferred,Freshers as Customer Care in BPO / ITES preferred,,Full Time,,10:00 AM - 6:00 PM(day shift),Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer RetentionCompulsory      Computer AwarenessQuantitative AptitudeConfidenceDedicationLocal AwarenessMS WordPersonal GroomingCustomer Retention,6 days  (sunday),Freshers can Apply,Sector 25,,
