Age,Communication,Documents,Education,Experience,Gender,Job Type,Others,Ownership,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
18 - 30 yrs,Good Kannada skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Admin Executive in Construction / Infrastructure preferred,Female preferred,Full Time,,,,MS OfficeTelephone SkillsCompulsory      Typing,6 days,Freshers can Apply,HBR Layout,,
Above 18 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 20 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Functional English skills - Ability to SpeakCompulsory      Functional Hindi skills - Ability to SpeakCompulsory      Functional Marathi skills - Ability to SpeakCompulsory,,Below 10th allowed,Freshers as Admin Executive preferred,,Full Time,,,10:00 AM - 6:00 PM(day shift),,6 days  (saturday),Freshers can Apply| Resume Required,Karve Nagar,,
18 - 30 yrs,Functional English skills - Ability to Speak & WriteCompulsory,Marksheets and Degree     Pan Card     Aadhar Card     2-Wheeler Driving License,12th pass mandatoryCompulsory,0 to 1 yr of experience as Admin Executive in Education / Training preferred,Male mandatoryCompulsory,Full Time,,Bike/ScooterCompulsory,9:00 AM - 6:00 PM(day shift|for Male Candidates only),Vendor ManagementFront DeskadministrationCustomer Relationship Management (CRM)Front Desk ReceptionCompulsory,6 days  (SUNDAY FIXED OFF),Freshers can Apply1 yr experience| Resume Required,Sector 6,,
Above 21 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Functional English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,,,Below 10th allowed,Freshers as Admin Executive preferred,,Full Time,,,9:30 AM - 6:00 PM(day shift),,,Freshers can Apply| Resume Required,Barakhamba,,
18 - 25 yrsCompulsory,Good Hindi skills - Ability to SpeakCompulsory,Cheque Book / Pass BookCompulsory      PhotosCompulsory      Voter IDCompulsory      Pan CardCompulsory      Aadhar CardCompulsory,12th pass mandatoryCompulsory,Freshers as Admin Executive in Real Estate preferred,Female mandatoryCompulsory,Full Time,YESCompulsory      CURRENTCompulsory,,9:00 AM - 6:00 PM(day shift),,7 days  (4),Freshers can Apply| Resume Required,Laxmi Nagar,,
